Matricola,Esame
788554,Geologia
788554,Genetica
788554,Ingegneria Biomedica
788554,Intelligenza Artificiale
788554,Architettura
788554,Scienze alimentari
788554,Medicina
788554,Biologia
788554,Fisica
834498,Epidemiologia
135502,Scienze Veterinarie
135502,Fisiologia
135502,Scienze Naturali
135502,Ingegneria Civile
135502,Fisica
135502,Informatica Teorica
135502,Diritto Pubblico
135502,Odontoiatria
135502,Genetica
135502,Diritto Privato
135502,Scienze Politiche
135502,Scienze della Comunicazione
135502,Matematica
135502,Psicologia
135502,Ingegneria Meccanica
135502,Informatica
797265,Storia dell’Arte
797265,Scienze dei Materiali
797265,Fisica
797265,Scienze Biologiche
797265,Odontoiatria
797265,Architettura
390289,Scienze Veterinarie
390289,Scienza Politica
390289,Sociologia del Lavoro
390289,Farmacia
555122,Immunologia
555122,Statistica Sociale
555122,Bioinformatica
555122,Scienze della Comunicazione
555122,Diritto Privato
555122,Intelligenza Artificiale
218499,Economia dell'Ambiente
218499,Ingegneria Informatica
218499,Chimica
218499,Astrofisica
218499,Ingegneria Biomedica
218499,Fisiologia
218499,Genetica
288417,Machine Learning
288417,Lingue Straniere
288417,Scienze Geografiche
441233,Astrofisica
441233,Neuroscienze
441233,Scienze Politiche
441233,Economia
441233,Fisiologia
182533,Economia dell'Ambiente
182533,Informatica
182533,Scienze della Formazione
182533,Ingegneria Informatica
182533,Sociologia del Lavoro
182533,Psicologia
182533,Geologia
182533,Psicologia del Lavoro
182533,Scienze della Comunicazione
182533,Astrofisica
576006,Scienze Naturali
576006,Sociologia del Lavoro
576006,Informatica
576006,Geologia
576006,Ingegneria Meccanica
576006,Farmacologia
576006,Medicina
576006,Psicopatologia
576006,Economia dell'Ambiente
576006,Farmacia
576006,Genetica
580539,Epidemiologia
580539,Genetica
580539,Scienze alimentari
580539,Informatica Teorica
580539,Intelligenza Artificiale
580539,Farmacologia
580539,Ingegneria Biomedica
580539,Informatica
580539,Sociologia del Lavoro
580539,Scienze Ambientali
580539,Odontoiatria
580539,Neuroscienze
580539,Psicopatologia
580539,Chimica
580539,Economia Aziendale
580539,Filosofia della Scienza
580539,Statistica Sociale
768068,Diritto Internazionale
768068,Biologia
768068,Odontoiatria
768068,Scienze della Comunicazione
768068,Informatica Teorica
768068,Ingegneria Biomedica
768068,Scienze Naturali
768068,Lingue Straniere
768068,Filosofia della Scienza
768068,Matematica
768068,Medicina
896433,Scienze Geografiche
896433,Lingue Straniere
896433,Calcolo Numerico
896433,Diritto Privato
896433,Scienze alimentari
896433,Scienze Politiche
896433,Scienze Naturali
896433,Informatica
896433,Sociologia
896433,Informatica Teorica
896433,Sociologia del Lavoro
896433,Ingegneria Meccanica
896433,Storia dell’Arte
896433,Ingegneria Civile
896433,Filosofia della Scienza
896433,Neuroscienze
546552,Statistica Sociale
546552,Psicologia
546552,Lingue Straniere
546552,Scienze dei Materiali
546552,Biochimica
546552,Scienze Biologiche
546552,Scienze Ambientali
546552,Farmacologia
546552,Medicina
546552,Scienze della Formazione
546552,Bioinformatica
546552,Programmazione Logica
546552,Ingegneria Civile
546552,Biologia
546552,Lettere e Filosofia
546552,Geografia Economica
349223,Statistica Sociale
349223,Scienze Biologiche
349223,Odontoiatria
349223,Diritto Internazionale
349223,Fisiologia
349223,Calcolo Numerico
380749,Bioinformatica
380749,Astrofisica
380749,Scienze dei Materiali
380061,Statistica Sociale
380061,Immunologia
380061,Economia Aziendale
380061,Scienze della Formazione
380061,Filosofia della Scienza
380061,Lettere e Filosofia
380061,Sociologia
